Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	dynamic	f=36	f=30	f=24	f=18	f=15	f=12
1	0.991793	0.986326	0.981744	0.974323	0.970781	0.979188	0.991829
2	0.982363	0.975486	0.966597	0.95476	0.94875	0.963594	0.98692
3	0.96981	0.964514	0.95345	0.938592	0.929782	0.948704	0.98265
4	0.955719	0.954857	0.941409	0.925111	0.912976	0.934948	0.978467
5	0.939402	0.945984	0.93084	0.91346	0.899089	0.922101	0.973923
6	0.924285	0.938125	0.921701	0.903968	0.886447	0.910031	0.969586
7	0.908736	0.930834	0.913301	0.895064	0.875519	0.898849	0.965031
8	0.894219	0.923942	0.905801	0.886839	0.86561	0.888557	0.960743
9	0.880944	0.917537	0.89879	0.878952	0.856998	0.879157	0.956583
10	0.868616	0.911444	0.892065	0.871764	0.849033	0.870061	0.952558
11	0.857649	0.905184	0.885247	0.864508	0.84153	0.861445	0.948239
12	0.846956	0.899034	0.879112	0.857611	0.83398	0.853218	0.943432
13	0.837512	0.89307	0.872755	0.850381	0.827125	0.845427	0.939211
14	0.828935	0.887279	0.866483	0.843507	0.820255	0.837893	0.934765
15	0.82049	0.881688	0.860044	0.83707	0.814044	0.830922	0.930443
16	0.81225	0.875917	0.853862	0.830568	0.807912	0.823877	0.925947
17	0.804799	0.870141	0.847365	0.824224	0.802069	0.816948	0.921529
18	0.797582	0.864472	0.840892	0.817549	0.796054	0.810221	0.917351
19	0.790379	0.858657	0.834502	0.811354	0.789603	0.803922	0.913203
20	0.783558	0.852758	0.828277	0.805186	0.783453	0.797668	0.909005
21	0.77674	0.847074	0.822196	0.799245	0.776754	0.791587	0.904952
22	0.769829	0.840979	0.815858	0.793604	0.770308	0.785563	0.900753
23	0.763058	0.834804	0.809527	0.78745	0.763932	0.779916	0.896646
24	0.755633	0.828878	0.803467	0.781577	0.757855	0.773937	0.892611
25	0.74862	0.822905	0.797336	0.775697	0.751761	0.768	0.888615
26	0.741614	0.816629	0.790795	0.77003	0.745552	0.76235	0.884705
27	0.734607	0.810688	0.78412	0.764447	0.739266	0.756482	0.880696
28	0.727793	0.804674	0.777912	0.758967	0.733078	0.750693	0.876906
29	0.721305	0.798732	0.771735	0.75311	0.726673	0.745112	0.87295
30	0.714324	0.793135	0.766073	0.747025	0.720619	0.739386	0.868995
31	0.707525	0.787275	0.760473	0.740486	0.714246	0.733788	0.865113
32	0.700691	0.781335	0.754936	0.734013	0.70766	0.728302	0.861355
33	0.693921	0.775441	0.749262	0.727502	0.701268	0.722831	0.857543
34	0.687565	0.769567	0.743399	0.721047	0.694641	0.717013	0.853807
35	0.681026	0.763963	0.737282	0.714683	0.688334	0.71115	0.849958
36	0.674542	0.758285	0.731415	0.708112	0.681854	0.70509	0.846201
37	0.667755	0.752716	0.725235	0.701363	0.675924	0.699422	0.842528
38	0.66119	0.747028	0.719534	0.694578	0.669966	0.69349	0.838945
39	0.654375	0.741432	0.713995	0.687649	0.664456	0.687743	0.835182
40	0.648033	0.735798	0.708452	0.681074	0.658762	0.681967	0.831698
41	0.642134	0.7304	0.702433	0.674385	0.652898	0.675867	0.828354
42	0.635996	0.724745	0.696816	0.668105	0.64693	0.67011	0.82482
43	0.629457	0.718988	0.691261	0.661491	0.641087	0.664506	0.821135
44	0.623306	0.713477	0.685289	0.655006	0.635151	0.658539	0.817394
45	0.616611	0.708247	0.679456	0.648722	0.629287	0.652667	0.813805
46	0.610077	0.702641	0.673506	0.642163	0.623555	0.646675	0.810412
47	0.603552	0.696988	0.667486	0.635506	0.61753	0.640706	0.806694
48	0.597132	0.691634	0.661693	0.62873	0.611433	0.634557	0.803164
49	0.590555	0.686032	0.655709	0.622056	0.605743	0.62845	0.799493
50	0.583971	0.680607	0.649847	0.615279	0.600199	0.622616	0.795998
51	0.577327	0.675061	0.644122	0.608128	0.594194	0.616728	0.792437
52	0.571023	0.669544	0.638295	0.601281	0.588457	0.610927	0.788879
53	0.564357	0.66405	0.632679	0.594081	0.58272	0.604847	0.785291
54	0.557471	0.65851	0.627034	0.587257	0.576607	0.598896	0.781736
55	0.550785	0.653329	0.621723	0.580289	0.570605	0.593101	0.778064
56	0.543925	0.648243	0.616384	0.573499	0.564228	0.587132	0.774647
57	0.537022	0.642911	0.610936	0.56735	0.558245	0.581515	0.771108
58	0.530368	0.637901	0.605721	0.560971	0.551817	0.575455	0.767703
59	0.523491	0.632587	0.600066	0.554562	0.545639	0.569601	0.76418
60	0.516716	0.62734	0.594597	0.547787	0.539491	0.563736	0.760632
61	0.509466	0.622174	0.589214	0.541575	0.533149	0.557929	0.757154
62	0.502517	0.616946	0.583653	0.535269	0.527036	0.552025	0.753644
63	0.495367	0.611676	0.578223	0.528688	0.521011	0.546235	0.750172
64	0.488329	0.606479	0.572565	0.522273	0.514991	0.54036	0.746688
65	0.48173	0.601246	0.567037	0.515921	0.508941	0.534575	0.743301
66	0.474882	0.596157	0.56111	0.509611	0.502899	0.52871	0.7399
67	0.468108	0.591095	0.55551	0.503348	0.496968	0.522588	0.736426
68	0.461412	0.586101	0.549917	0.496914	0.491078	0.516785	0.732913
69	0.45489	0.581069	0.544318	0.490559	0.48507	0.510572	0.729375
70	0.448348	0.575925	0.538479	0.484141	0.479304	0.504643	0.725752
71	0.441403	0.570936	0.532953	0.477683	0.473146	0.498536	0.722506
72	0.434717	0.565895	0.527241	0.471715	0.467043	0.492347	0.719106
73	0.428268	0.561116	0.521777	0.465556	0.461027	0.486446	0.715759
74	0.421997	0.556319	0.516243	0.459194	0.455022	0.480403	0.712422
75	0.4154	0.551546	0.510529	0.452917	0.449058	0.474108	0.709266
76	0.408843	0.546542	0.504651	0.44615	0.443109	0.468258	0.706006
77	0.40224	0.541568	0.498847	0.439918	0.437003	0.461986	0.70282
78	0.395333	0.536575	0.492957	0.433618	0.431228	0.456165	0.699557
79	0.389095	0.531885	0.486913	0.427216	0.425313	0.449687	0.696319
80	0.38263	0.526654	0.480903	0.421095	0.419199	0.443682	0.692905
81	0.375917	0.521139	0.475142	0.41503	0.413266	0.437225	0.689762
82	0.369136	0.515995	0.469292	0.40921	0.407001	0.431047	0.686545
83	0.362522	0.51086	0.463578	0.402772	0.400927	0.424812	0.683174
84	0.355945	0.505521	0.457707	0.396365	0.394627	0.418832	0.679922
85	0.349406	0.500371	0.452028	0.38978	0.388683	0.412936	0.676513
86	0.343056	0.495303	0.446084	0.383421	0.382815	0.406624	0.673258
87	0.336617	0.490273	0.439874	0.377468	0.376859	0.400604	0.67005
88	0.330392	0.485167	0.433911	0.371505	0.371181	0.394569	0.66691
89	0.323909	0.480114	0.428303	0.365463	0.365545	0.388541	0.663483
90	0.317448	0.475054	0.422739	0.359501	0.359387	0.382605	0.660161
91	0.310968	0.469938	0.416952	0.353441	0.35318	0.376731	0.65677
92	0.304505	0.464855	0.411231	0.347741	0.347197	0.37096	0.653616
93	0.298343	0.459759	0.405534	0.341872	0.341248	0.364794	0.650393
94	0.291935	0.454633	0.399824	0.336256	0.33511	0.358742	0.647295
95	0.285356	0.449618	0.394187	0.330437	0.329121	0.352617	0.644053
96	0.279016	0.44446	0.388577	0.32462	0.323134	0.346654	0.640812
97	0.272732	0.439619	0.382783	0.31886	0.317176	0.340842	0.63767
98	0.266487	0.434697	0.377115	0.313146	0.311049	0.335186	0.634299
99	0.260363	0.429732	0.371647	0.307632	0.30483	0.329498	0.630898
100	0.253761	0.424812	0.365904	0.302222	0.298651	0.323579	0.6276
101	0.247098	0.42012	0.360045	0.29682	0.292473	0.317727	0.624115
102	0.24043	0.415262	0.354242	0.291362	0.286235	0.311912	0.62087
103	0.233881	0.410487	0.348445	0.285569	0.279731	0.306067	0.617598
104	0.227321	0.405623	0.342515	0.279985	0.273182	0.299996	0.614514
105	0.220795	0.400642	0.336709	0.274195	0.266547	0.294014	0.61119
106	0.21444	0.395878	0.331209	0.268482	0.260144	0.288003	0.607859
107	0.208164	0.391216	0.325275	0.262594	0.25361	0.282151	0.604577
108	0.20156	0.386509	0.319497	0.256936	0.247172	0.276219	0.601036
109	0.194925	0.381653	0.313918	0.251161	0.240743	0.270493	0.597722
110	0.188418	0.376587	0.308211	0.245377	0.234471	0.264743	0.594286
111	0.182342	0.371764	0.302709	0.239642	0.228358	0.259011	0.591045
112	0.17614	0.36699	0.29734	0.234347	0.222344	0.253272	0.587718
113	0.170064	0.362042	0.29174	0.22883	0.216592	0.247949	0.584248
114	0.164178	0.357286	0.286366	0.223208	0.21079	0.242351	0.580804
115	0.158558	0.352558	0.280801	0.217676	0.204977	0.237119	0.577374
116	0.152976	0.347854	0.275585	0.212171	0.199099	0.231533	0.574144
117	0.14746	0.343226	0.270273	0.206794	0.193123	0.226083	0.570573
118	0.141861	0.338506	0.264967	0.201616	0.187364	0.220969	0.56685
119	0.135931	0.333941	0.259895	0.19641	0.181139	0.215671	0.563547
120	0.130382	0.32956	0.254815	0.19142	0.175017	0.210172	0.560095
121	0.124761	0.325094	0.249721	0.186392	0.169172	0.204738	0.556629
122	0.119371	0.320766	0.244611	0.181006	0.163117	0.199546	0.553244
123	0.114372	0.316186	0.239676	0.175636	0.157501	0.194469	0.549842
124	0.109162	0.311749	0.234734	0.170613	0.15172	0.189523	0.546557
125	0.103953	0.3074	0.22953	0.165369	0.145969	0.184371	0.543306
126	0.098853	0.302931	0.224335	0.160172	0.140412	0.179059	0.540189
127	0.093934	0.298674	0.219126	0.154843	0.134831	0.17402	0.536808
128	0.089156	0.294091	0.21398	0.149521	0.12941	0.169127	0.533504
129	0.084767	0.289547	0.208885	0.144253	0.124069	0.164345	0.530127
130	0.080293	0.285167	0.203791	0.139293	0.118695	0.159524	0.526739
131	0.076061	0.280861	0.198955	0.134584	0.113659	0.155036	0.523614
132	0.072084	0.27659	0.194071	0.129757	0.108538	0.150464	0.520293
133	0.068336	0.272303	0.189191	0.125133	0.103649	0.145842	0.516893
134	0.064775	0.267824	0.184439	0.120427	0.098695	0.141261	0.513547
135	0.061478	0.263361	0.179718	0.115969	0.094067	0.136846	0.510298
136	0.058499	0.25905	0.175128	0.111318	0.089704	0.132443	0.507202
137	0.055605	0.25466	0.170485	0.106864	0.085643	0.128092	0.503983
138	0.052821	0.250427	0.165879	0.102578	0.081485	0.123837	0.500727
139	0.050151	0.246109	0.161383	0.098375	0.077631	0.119804	0.497565
140	0.047622	0.24188	0.15703	0.094129	0.073616	0.115894	0.494297
141	0.045335	0.237625	0.152998	0.089793	0.069988	0.112199	0.491121
142	0.043122	0.233558	0.148905	0.085853	0.066375	0.108404	0.488092
143	0.041056	0.229676	0.144714	0.081765	0.06308	0.104799	0.485045
144	0.039125	0.225595	0.140903	0.077774	0.060124	0.101184	0.482007
145	0.037275	0.221532	0.136927	0.07413	0.057363	0.097711	0.478977
146	0.035648	0.217415	0.133164	0.070679	0.054577	0.094354	0.476035
147	0.034007	0.213397	0.129541	0.067211	0.051839	0.091044	0.473191
148	0.032582	0.209036	0.125726	0.063925	0.049312	0.087872	0.470163
149	0.031124	0.20494	0.121952	0.06057	0.046985	0.084892	0.467278
150	0.029782	0.201267	0.118387	0.057136	0.044727	0.082088	0.464166
151	0.028512	0.197315	0.114903	0.05405	0.042796	0.079272	0.461234
152	0.02737	0.193499	0.111394	0.051267	0.041051	0.076534	0.458375
153	0.026271	0.189875	0.108059	0.048787	0.039214	0.074018	0.45553
154	0.025294	0.18627	0.104779	0.04643	0.037416	0.071578	0.452567
155	0.024449	0.182836	0.101402	0.04418	0.035702	0.069251	0.4497
156	0.023553	0.179311	0.098188	0.042039	0.034087	0.066996	0.446787
157	0.022762	0.175725	0.094845	0.040223	0.032647	0.064866	0.443968
158	0.022014	0.172408	0.091773	0.038268	0.031312	0.062746	0.441183
159	0.021286	0.168925	0.088851	0.03662	0.030096	0.060726	0.438398
160	0.020641	0.165342	0.086	0.035047	0.028963	0.058837	0.435551
161	0.020031	0.162177	0.083342	0.033631	0.027866	0.056967	0.432769
162	0.019488	0.159047	0.080806	0.03223	0.026846	0.055119	0.429928
163	0.018981	0.155901	0.078203	0.030961	0.025804	0.053324	0.427388
164	0.018487	0.152838	0.075628	0.029685	0.024867	0.051649	0.424806
165	0.018058	0.14979	0.073206	0.028554	0.023942	0.049994	0.422316
166	0.017587	0.146669	0.070798	0.027548	0.023115	0.048463	0.419683
