Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	dynamic	f=36	f=30	f=24	f=18	f=15	f=12
1	0.993183	0.984806	0.980306	0.97102	0.970582	0.979624	0.993094
2	0.98354	0.97229	0.964686	0.949152	0.947588	0.964965	0.98936
3	0.97058	0.96072	0.950046	0.931764	0.927861	0.950127	0.986002
4	0.956041	0.950338	0.938111	0.917318	0.91037	0.936549	0.982934
5	0.939889	0.940957	0.927694	0.905716	0.895882	0.923735	0.979802
6	0.923656	0.932292	0.9183	0.895524	0.883321	0.91151	0.976647
7	0.907661	0.924348	0.909569	0.886324	0.872327	0.900274	0.973288
8	0.893378	0.917047	0.901348	0.877989	0.862202	0.889728	0.970275
9	0.879789	0.90993	0.893926	0.869825	0.853108	0.879858	0.967249
10	0.866945	0.903176	0.886701	0.862424	0.844679	0.870558	0.964257
11	0.855271	0.896644	0.879922	0.855153	0.836516	0.861645	0.961176
12	0.844457	0.89027	0.87339	0.847801	0.828829	0.852882	0.957896
13	0.834363	0.883945	0.866871	0.840794	0.821364	0.844909	0.954806
14	0.825008	0.877812	0.860748	0.833589	0.813914	0.837292	0.951804
15	0.816557	0.872269	0.854847	0.826577	0.806821	0.830059	0.948595
16	0.808547	0.866568	0.849266	0.819856	0.799877	0.823189	0.945496
17	0.801014	0.861257	0.843642	0.81338	0.793094	0.816337	0.942439
18	0.793119	0.855796	0.837759	0.806829	0.786246	0.809904	0.939354
19	0.785699	0.85049	0.832074	0.800507	0.779627	0.803435	0.936338
20	0.77837	0.845099	0.826367	0.794049	0.773041	0.797106	0.933167
21	0.771554	0.83935	0.820566	0.787574	0.766745	0.790674	0.929901
22	0.764489	0.833681	0.815124	0.780874	0.76034	0.784494	0.926776
23	0.757584	0.827913	0.809326	0.774366	0.754037	0.778431	0.923534
24	0.751098	0.822288	0.803497	0.7679	0.747723	0.772587	0.920301
25	0.744647	0.816587	0.797646	0.761549	0.741132	0.766853	0.91707
26	0.737935	0.8109	0.791731	0.755124	0.734947	0.761189	0.913909
27	0.731308	0.805319	0.78577	0.748975	0.728957	0.755723	0.910812
28	0.724699	0.799596	0.779848	0.742836	0.72282	0.75023	0.90771
29	0.71755	0.793449	0.77402	0.736612	0.716794	0.744781	0.904653
30	0.710733	0.787714	0.767985	0.730189	0.7106	0.73938	0.901636
31	0.703793	0.781877	0.7617	0.724043	0.704221	0.733789	0.898551
32	0.697164	0.775966	0.755333	0.718033	0.698076	0.728169	0.895469
33	0.690276	0.770204	0.74901	0.711615	0.691891	0.722744	0.892629
34	0.683228	0.764728	0.742974	0.705087	0.685905	0.717424	0.88974
35	0.676389	0.759154	0.736787	0.698788	0.679868	0.712117	0.886825
36	0.669967	0.753669	0.730524	0.692358	0.673811	0.706701	0.883964
37	0.663726	0.748064	0.724358	0.685861	0.667934	0.701198	0.88119
38	0.65785	0.742513	0.718313	0.67937	0.662319	0.695476	0.878372
39	0.651705	0.737135	0.711922	0.67297	0.65617	0.690051	0.875617
40	0.645113	0.731463	0.705272	0.666564	0.650441	0.684404	0.872672
41	0.63875	0.725827	0.698833	0.659936	0.644655	0.679049	0.869915
42	0.632249	0.720405	0.692308	0.653425	0.638516	0.673483	0.866958
43	0.625887	0.714868	0.685493	0.647174	0.632552	0.668068	0.864153
