Time step,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty,Uncertainty
,dynamic,f=36,f=30,f=24,f=18,f=15,f=12
85,0.347025,0.442695,0.410631,0.35133,0.375002,0.439029,0.839106
86,0.340999,0.437236,0.404737,0.344958,0.368899,0.433527,0.837271
87,0.335034,0.431702,0.398791,0.338934,0.362722,0.42822,0.835548
88,0.328652,0.426577,0.392721,0.332845,0.356695,0.42278,0.833852
89,0.322654,0.420867,0.386646,0.326434,0.350611,0.41716,0.832181
90,0.316386,0.415213,0.380936,0.320408,0.344574,0.411466,0.830311
91,0.309884,0.409584,0.375118,0.314133,0.338299,0.405792,0.828611
92,0.303606,0.404114,0.369169,0.308059,0.331857,0.400524,0.826784
93,0.29724,0.398333,0.363373,0.301939,0.325622,0.395071,0.824958
94,0.290957,0.392809,0.357428,0.296012,0.319238,0.389505,0.823105
95,0.284272,0.387288,0.351552,0.29029,0.313126,0.384206,0.821273
96,0.277516,0.381809,0.345628,0.284388,0.306833,0.378586,0.819394
97,0.271141,0.376141,0.339914,0.278682,0.300418,0.373013,0.817554
98,0.264424,0.370767,0.334156,0.27282,0.293714,0.36732,0.81583
99,0.257517,0.365249,0.328502,0.266801,0.287501,0.361394,0.81392
100,0.250721,0.360122,0.322956,0.260852,0.280922,0.355827,0.812103
101,0.244022,0.354982,0.317405,0.254532,0.274908,0.350358,0.810403
102,0.237723,0.349385,0.311918,0.24841,0.268828,0.344676,0.808728
103,0.231736,0.343838,0.306193,0.242344,0.262672,0.339159,0.806888
104,0.22566,0.338515,0.300574,0.236321,0.256339,0.333402,0.805229
105,0.219565,0.33315,0.29531,0.230175,0.250186,0.327528,0.803449
106,0.213272,0.327403,0.289791,0.224256,0.243784,0.321631,0.801738
107,0.207116,0.321744,0.284293,0.218387,0.237773,0.315767,0.800092
108,0.200886,0.316473,0.278964,0.212186,0.23145,0.310137,0.798463
109,0.194931,0.310883,0.273497,0.206361,0.225396,0.304394,0.796699
110,0.18913,0.305279,0.268048,0.200313,0.21925,0.298435,0.794921
111,0.183008,0.300018,0.262428,0.194568,0.212976,0.292776,0.793266
112,0.177087,0.294622,0.257085,0.188685,0.20663,0.287256,0.791567
113,0.170915,0.289243,0.251259,0.182913,0.200491,0.281553,0.789591
114,0.16482,0.283761,0.245504,0.177161,0.19449,0.276028,0.787926
115,0.158664,0.27819,0.239908,0.171525,0.188562,0.270334,0.786211
116,0.152732,0.272625,0.234319,0.165572,0.182771,0.264884,0.784569
117,0.146637,0.267412,0.228288,0.159415,0.176805,0.259507,0.782783
118,0.1408,0.262028,0.222355,0.153057,0.170761,0.254119,0.781154
119,0.135053,0.25628,0.216466,0.147014,0.164805,0.248847,0.779647
120,0.12927,0.25086,0.210687,0.141261,0.158679,0.243314,0.777915
121,0.123897,0.245284,0.205097,0.135742,0.152835,0.238102,0.776257
122,0.11853,0.239723,0.199279,0.130446,0.14716,0.232796,0.77459
123,0.113393,0.234687,0.193631,0.124901,0.14181,0.227656,0.772963
124,0.108406,0.229648,0.187662,0.119723,0.136588,0.222656,0.77131
125,0.103486,0.224737,0.181936,0.114557,0.131404,0.217811,0.769771
126,0.098643,0.219861,0.176371,0.10926,0.126356,0.213008,0.768159
127,0.093841,0.215003,0.17085,0.104182,0.121475,0.208063,0.766522
128,0.089134,0.21026,0.16533,0.099314,0.116779,0.203411,0.764897
129,0.084548,0.205319,0.159981,0.094637,0.112179,0.198716,0.763268
130,0.080387,0.200541,0.154956,0.090133,0.107664,0.19398,0.761644
131,0.076249,0.196035,0.149766,0.085676,0.103416,0.189285,0.759966
132,0.072359,0.191679,0.144644,0.081534,0.09923,0.184719,0.758394
133,0.068415,0.186975,0.139957,0.077492,0.095213,0.180378,0.756802
134,0.064679,0.182578,0.135073,0.073424,0.091253,0.176265,0.755282
135,0.060988,0.178256,0.130509,0.069458,0.08743,0.172152,0.753703
136,0.057566,0.17375,0.126019,0.065665,0.083717,0.168156,0.752125
137,0.054369,0.169096,0.121424,0.062279,0.08004,0.164111,0.750431
138,0.051275,0.16463,0.116889,0.058979,0.076697,0.16014,0.748903
139,0.048483,0.16009,0.112359,0.055785,0.073428,0.156245,0.747393
140,0.045847,0.15589,0.107853,0.052882,0.070301,0.152573,0.745859
141,0.043242,0.151549,0.103535,0.049949,0.067179,0.149032,0.744292
142,0.040839,0.14736,0.099393,0.047256,0.064171,0.145344,0.742777
143,0.038582,0.143248,0.095444,0.044652,0.061345,0.141806,0.741275
144,0.036529,0.139541,0.09159,0.042147,0.058744,0.138403,0.739766
145,0.034677,0.135692,0.087867,0.039733,0.05592,0.135012,0.738194
146,0.032924,0.131867,0.084282,0.037564,0.053373,0.131746,0.736634
