Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	dynamic	f=36	f=30	f=24	f=18	f=15	f=12
85	0.336193	0.444697	0.386298	0.356584	0.367253	0.472102	0.934305
86	0.329675	0.439147	0.380341	0.350682	0.360725	0.466904	0.933509
87	0.323109	0.433267	0.374506	0.344876	0.354404	0.461727	0.932713
88	0.316463	0.427657	0.368525	0.339207	0.34778	0.456575	0.93208
89	0.309637	0.422099	0.362522	0.333183	0.341269	0.451329	0.931391
90	0.302986	0.416901	0.356674	0.327477	0.334495	0.446018	0.930699
91	0.296248	0.411728	0.351013	0.321819	0.327805	0.440731	0.930036
92	0.289519	0.406443	0.345321	0.315974	0.321177	0.435473	0.929298
93	0.282867	0.401283	0.339732	0.309882	0.314443	0.430283	0.928609
94	0.276137	0.39618	0.334133	0.30407	0.307663	0.425058	0.927914
95	0.269703	0.390785	0.328393	0.298286	0.301221	0.419717	0.9272
96	0.263095	0.385841	0.32217	0.292507	0.294721	0.414277	0.926378
97	0.256654	0.380617	0.316284	0.286479	0.288249	0.409067	0.925633
98	0.250064	0.375518	0.310343	0.280521	0.281618	0.403559	0.924736
99	0.243457	0.370428	0.304413	0.273875	0.275369	0.398214	0.924013
100	0.236895	0.365315	0.298517	0.267894	0.269053	0.393295	0.923188
101	0.230507	0.360077	0.292593	0.261592	0.262487	0.387999	0.922415
102	0.22395	0.355036	0.286733	0.255133	0.256345	0.38271	0.921718
103	0.217195	0.349732	0.280892	0.248655	0.249794	0.377654	0.921014
104	0.210515	0.344246	0.274997	0.242202	0.243512	0.372444	0.920283
105	0.20403	0.339076	0.268891	0.235497	0.237446	0.36703	0.919565
106	0.197522	0.333995	0.263094	0.228796	0.231435	0.361691	0.918907
107	0.191152	0.328818	0.256866	0.221992	0.225357	0.356384	0.918204
108	0.184715	0.323447	0.25077	0.215285	0.219496	0.351245	0.917421
109	0.178195	0.31824	0.244553	0.208967	0.213749	0.346057	0.916803
110	0.171732	0.312763	0.238384	0.202462	0.207809	0.340834	0.916058
111	0.165261	0.30762	0.232284	0.195643	0.202021	0.335666	0.915332
112	0.159173	0.302253	0.22611	0.188824	0.196214	0.330413	0.914712
113	0.153166	0.296862	0.2199	0.182283	0.190428	0.325207	0.914091
114	0.14717	0.291541	0.213978	0.175795	0.184888	0.320294	0.913399
115	0.141245	0.286254	0.208081	0.168828	0.17942	0.315353	0.912675
116	0.135351	0.280838	0.201839	0.162323	0.173976	0.310431	0.911931
117	0.12968	0.27537	0.19587	0.155943	0.16846	0.305752	0.911214
118	0.124077	0.269958	0.189857	0.149488	0.163084	0.300812	0.910617
119	0.118311	0.264566	0.18392	0.14296	0.157843	0.295773	0.909919
120	0.112885	0.259277	0.178341	0.136803	0.152625	0.290925	0.909241
121	0.107679	0.253882	0.172904	0.130638	0.147224	0.286286	0.908504
122	0.102351	0.24869	0.167131	0.124636	0.142134	0.281553	0.907837
123	0.097364	0.24342	0.161418	0.11898	0.137274	0.276829	0.907316
124	0.09207	0.238144	0.15604	0.113367	0.132359	0.272314	0.906673
125	0.087467	0.232987	0.150382	0.108033	0.127451	0.267665	0.906015
126	0.083012	0.227347	0.144982	0.102758	0.12297	0.263058	0.905354
127	0.078649	0.221808	0.139863	0.097664	0.118407	0.258626	0.904678
128	0.074582	0.216398	0.134682	0.092857	0.113827	0.254059	0.904115
129	0.070776	0.210975	0.129758	0.088128	0.109392	0.249796	0.903443
130	0.06715	0.205306	0.124938	0.083718	0.105042	0.245441	0.902805
131	0.063751	0.199714	0.120216	0.079432	0.100968	0.241098	0.902178
132	0.060308	0.194148	0.11578	0.075377	0.096915	0.236916	0.901591
133	0.057221	0.188747	0.111143	0.071543	0.093117	0.232749	0.901018
134	0.054255	0.183083	0.106722	0.067961	0.08938	0.228667	0.900468
135	0.051324	0.177772	0.102414	0.064527	0.085801	0.224576	0.899831
136	0.048526	0.172588	0.098411	0.061258	0.082338	0.220526	0.899183
137	0.045932	0.1674	0.094349	0.058285	0.07924	0.216699	0.898677
138	0.043488	0.162348	0.090662	0.055423	0.076122	0.212909	0.898109
139	0.04108	0.156875	0.086945	0.052794	0.07307	0.208991	0.897454
140	0.038817	0.151628	0.083387	0.050242	0.070152	0.20522	0.896847
141	0.036784	0.146648	0.079938	0.047896	0.067273	0.201449	0.896219
142	0.034743	0.141912	0.076646	0.045584	0.064591	0.197878	0.895666
143	0.032981	0.137175	0.073529	0.043478	0.061882	0.194182	0.895031
144	0.031257	0.132416	0.070418	0.041431	0.059387	0.19053	0.894453
145	0.029708	0.127946	0.067327	0.03942	0.057091	0.187	0.893844
146	0.028266	0.123386	0.064537	0.037392	0.054841	0.183528	0.893239
147	0.026897	0.119229	0.061413	0.035529	0.052635	0.180085	0.89269
148	0.025646	0.11512	0.058597	0.033881	0.050579	0.176739	0.891972
149	0.02457	0.111106	0.05599	0.032196	0.04866	0.173405	0.891371
150	0.023529	0.107401	0.053414	0.030688	0.046719	0.170029	0.890741
151	0.02258	0.103605	0.050941	0.029321	0.044844	0.166841	0.890227
152	0.021679	0.099965	0.048591	0.027927	0.043035	0.163647	0.88967
153	0.020876	0.096579	0.046567	0.026616	0.041235	0.160555	0.889097
154	0.020157	0.093259	0.044601	0.025383	0.03967	0.157396	0.888518
155	0.019504	0.090123	0.042612	0.024197	0.038159	0.154408	0.887952
156	0.018871	0.086676	0.040679	0.023122	0.036748	0.15143	0.887351
157	0.018279	0.083449	0.039002	0.02223	0.035341	0.148388	0.886783
158	0.017742	0.080415	0.037492	0.021291	0.033996	0.145475	0.886182
159	0.017285	0.077513	0.035917	0.020551	0.032751	0.142708	0.885604
160	0.01682	0.074604	0.034472	0.019741	0.031572	0.139896	0.885092
161	0.016398	0.071757	0.033176	0.019018	0.030442	0.137138	0.884498
162	0.01603	0.068962	0.031832	0.018346	0.02937	0.134505	0.883916
163	0.015665	0.066107	0.030517	0.017769	0.028368	0.131903	0.883393
164	0.015344	0.06357	0.029306	0.017235	0.027454	0.129547	0.882833
165	0.015015	0.060925	0.028175	0.016768	0.0265	0.127059	0.882231
166	0.014746	0.05849	0.027103	0.016336	0.025635	0.124758	0.8817
167	0.014476	0.056101	0.026049	0.015925	0.024775	0.122374	0.88119
168	0.014216	0.053953	0.025151	0.015559	0.024005	0.120213	0.88051
169	0.013974	0.051786	0.024263	0.015192	0.023264	0.11786	0.879948
170	0.013748	0.049781	0.023415	0.014873	0.022601	0.115688	0.879377
171	0.013536	0.047656	0.02253	0.014548	0.021965	0.113485	0.878832
172	0.013361	0.045809	0.021787	0.014262	0.021324	0.111393	0.878302
173	0.013184	0.044189	0.02106	0.013985	0.020735	0.109166	0.87765
174	0.013017	0.042619	0.020406	0.013746	0.020202	0.107091	0.877099
175	0.01285	0.041052	0.019803	0.013526	0.0197	0.105104	0.876586
176	0.012702	0.039562	0.019293	0.013315	0.019213	0.103036	0.876044
177	0.012556	0.038224	0.018776	0.013106	0.018771	0.101155	0.875523
178	0.012422	0.037009	0.018282	0.012922	0.018328	0.099203	0.874975
179	0.012304	0.035838	0.017828	0.012737	0.017911	0.097405	0.874451
180	0.012197	0.034792	0.01742	0.012589	0.0175	0.095577	0.87386
181	0.012088	0.033771	0.016991	0.012445	0.01714	0.093803	0.87337
182	0.011991	0.032858	0.016609	0.012305	0.016807	0.092012	0.872813
183	0.011893	0.031961	0.016248	0.012181	0.016458	0.090288	0.872248
184	0.011801	0.03106	0.01591	0.012062	0.016128	0.088611	0.871776
185	0.011717	0.030315	0.015595	0.011948	0.015803	0.087041	0.871142
186	0.011635	0.029512	0.015318	0.011843	0.015511	0.085489	0.870624
187	0.011562	0.028806	0.01505	0.01175	0.015249	0.083964	0.869999
188	0.011495	0.028125	0.014792	0.011655	0.014988	0.082444	0.869511
189	0.011439	0.027436	0.014569	0.011565	0.01475	0.080932	0.868928
190	0.011375	0.026827	0.014364	0.011482	0.014521	0.079473	0.86836
191	0.011314	0.026248	0.014163	0.011413	0.014302	0.078088	0.867822
192	0.011267	0.025651	0.013963	0.011343	0.01409	0.076684	0.86732
193	0.011216	0.025079	0.013786	0.011281	0.013902	0.075302	0.866711
194	0.011166	0.024548	0.013623	0.01122	0.013719	0.074005	0.86617
195	0.01112	0.024048	0.013465	0.01116	0.013549	0.072668	0.865628
196	0.011078	0.023548	0.013323	0.011111	0.013378	0.071367	0.865083
197	0.011038	0.023025	0.013182	0.011063	0.013218	0.07011	0.864566
198	0.010999	0.022565	0.013057	0.011017	0.013069	0.068891	0.863956
199	0.010965	0.022158	0.012935	0.010972	0.012933	0.067669	0.863461
200	0.010929	0.021767	0.012826	0.010929	0.012799	0.066459	0.862965
201	0.010895	0.021373	0.012736	0.010886	0.012679	0.065291	0.862327
202	0.01086	0.020961	0.012637	0.010851	0.012554	0.064081	0.861832
203	0.010829	0.020566	0.012551	0.01082	0.012442	0.062964	0.861237
204	0.010802	0.020226	0.01247	0.010789	0.012337	0.061904	0.860681
205	0.010774	0.019918	0.01239	0.010757	0.01223	0.060767	0.860108
206	0.010751	0.019621	0.012317	0.010731	0.012129	0.059753	0.859615
207	0.010731	0.019332	0.012246	0.010701	0.012037	0.058752	0.859075
208	0.010708	0.019033	0.012178	0.010677	0.011948	0.057761	0.858499
209	0.010687	0.018735	0.012117	0.010657	0.011867	0.056756	0.857937
210	0.010667	0.018483	0.012056	0.010638	0.011787	0.055794	0.857432
211	0.010652	0.018245	0.011997	0.010617	0.011718	0.054818	0.856857
212	0.010636	0.017998	0.011943	0.010598	0.011642	0.053887	0.856244
213	0.010622	0.017742	0.011897	0.010579	0.011577	0.052963	0.855716
214	0.010607	0.017527	0.011846	0.010561	0.011513	0.052082	0.855124
215	0.010593	0.017294	0.011795	0.010549	0.011452	0.051194	0.854641
216	0.01058	0.017082	0.011748	0.010534	0.01139	0.050338	0.854062
