Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	¦Î=0.5	¦Î=1	¦Î=1.5	¦Î=2
143	0.032981	0.038582	0.045804	0.041056
144	0.031257	0.036529	0.043539	0.039125
145	0.029708	0.034677	0.041246	0.037275
146	0.028266	0.032924	0.039219	0.035648
147	0.026897	0.031351	0.037397	0.034007
148	0.025646	0.02978	0.035693	0.032582
149	0.02457	0.028287	0.034028	0.031124
150	0.023529	0.026927	0.032487	0.029782
151	0.02258	0.025762	0.031029	0.028512
152	0.021679	0.024637	0.029658	0.02737
153	0.020876	0.023644	0.02832	0.026271
154	0.020157	0.022703	0.027065	0.025294
155	0.019504	0.021771	0.025918	0.024449
156	0.018871	0.020993	0.024852	0.023553
157	0.018279	0.020161	0.023853	0.022762
158	0.017742	0.019429	0.022869	0.022014
159	0.017285	0.018733	0.021938	0.021286
160	0.01682	0.018134	0.021168	0.020641
161	0.016398	0.017587	0.020361	0.020031
162	0.01603	0.017089	0.019667	0.019488
163	0.015665	0.01662	0.019027	0.018981
164	0.015344	0.016191	0.0184	0.018487
165	0.015015	0.015784	0.017807	0.018058
166	0.014746	0.015445	0.017235	0.017587
167	0.014476	0.015099	0.016718	0.017195
168	0.014216	0.014789	0.016287	0.016822
169	0.013974	0.014486	0.015905	0.016473
170	0.013748	0.014247	0.015552	0.01615
171	0.013536	0.014008	0.015219	0.015837
172	0.013361	0.013778	0.014917	0.015533
173	0.013184	0.013594	0.014633	0.01526
174	0.013017	0.013399	0.014373	0.014991
175	0.01285	0.013212	0.014107	0.014712
176	0.012702	0.013025	0.013878	0.014461
177	0.012556	0.012848	0.013661	0.014244
178	0.012422	0.012681	0.013463	0.014039
179	0.012304	0.012531	0.013281	0.013861
180	0.012197	0.012402	0.013099	0.013707
181	0.012088	0.012266	0.012932	0.013549
182	0.011991	0.012144	0.012776	0.013407
183	0.011893	0.012024	0.012625	0.013268
184	0.011801	0.011921	0.012484	0.013157
185	0.011717	0.011819	0.012353	0.013014
186	0.011635	0.011724	0.012248	0.012883
187	0.011562	0.011641	0.012148	0.012766
188	0.011495	0.011545	0.012057	0.012653
189	0.011439	0.011463	0.011958	0.012549
190	0.011375	0.011391	0.011863	0.012454
191	0.011314	0.011323	0.01177	0.012364
192	0.011267	0.011264	0.011693	0.012289
193	0.011216	0.011205	0.011618	0.012204
194	0.011166	0.011154	0.01155	0.012124
195	0.01112	0.011101	0.011488	0.012059
196	0.011078	0.011057	0.011427	0.011979
197	0.011038	0.011014	0.011369	0.011916
198	0.010999	0.010972	0.011318	0.011844
199	0.010965	0.010936	0.011276	0.011778
200	0.010929	0.010905	0.011227	0.011709
201	0.010895	0.010875	0.011187	0.011652
202	0.01086	0.010844	0.011144	0.01159
203	0.010829	0.010816	0.011102	0.011535
204	0.010802	0.010791	0.011068	0.011487
205	0.010774	0.010769	0.011034	0.011444
206	0.010751	0.010743	0.011001	0.011407
207	0.010731	0.010723	0.010975	0.011362
208	0.010708	0.010703	0.010951	0.011324
209	0.010687	0.010685	0.010927	0.011278
210	0.010667	0.010671	0.010902	0.011242
211	0.010652	0.010655	0.010875	0.011206
212	0.010636	0.010638	0.010851	0.011174
213	0.010622	0.010625	0.010829	0.011146
214	0.010607	0.01061	0.010807	0.011118
215	0.010593	0.010596	0.010786	0.011093
216	0.01058	0.010583	0.010767	0.011068
217	0.010566	0.010569	0.010748	0.011046
218	0.010554	0.010558	0.010732	0.011025
219	0.010541	0.010548	0.010716	0.011004
220	0.010528	0.010538	0.010703	0.010979
221	0.010516	0.010529	0.010689	0.010966
222	0.01051	0.010518	0.010674	0.010949
223	0.010502	0.010509	0.010657	0.010931
224	0.010493	0.010501	0.010641	0.010913
225	0.010484	0.010492	0.010631	0.010899
